,Step,AE_Keys,mean,std
0,2000,obj,,0.03187842450040126
1,2000,rgb,,17.393831715842847
2,2000,rgb + obj,,8.103275566359217
3,2000,rgb + obj_encoding_only,,11.240730443230847
4,3000,obj,92.7199361562729,0.010175568602716218
5,3000,rgb,96.14915830691655,0.7776660545910405
6,3000,rgb + obj,69.00091675519943,1.4359640822721287
7,3000,rgb + obj_encoding_only,42.29355299075445,1.5570086991017993
8,4000,obj,10.447685974587996,0.010101019589740521
9,4000,rgb,13.262723173449436,0.5428192842018211
10,4000,rgb + obj,12.600418930997453,1.22378925399679
11,4000,rgb + obj_encoding_only,11.649133123705784,1.511230928942142
12,5000,obj,8.34758242716392,0.004743696068581891
13,5000,rgb,10.705883131176233,0.6652904817756454
14,5000,rgb + obj,10.372479861726363,1.35624590404407
15,5000,rgb + obj_encoding_only,9.802262093375125,0.8461559745496536
16,6000,obj,7.179529203722874,0.0019174410673141044
17,6000,rgb,9.281644602616627,0.5162511986146411
18,6000,rgb + obj,9.131955691178641,1.521310110344271
19,6000,rgb + obj_encoding_only,8.77278108994166,0.1204547272112229
20,7000,obj,6.487463637193045,0.0017028330953658783
21,7000,rgb,8.398873742421468,0.359486093666238
22,7000,rgb + obj,8.400239531199137,1.4013313755713905
23,7000,rgb + obj_encoding_only,8.240520572662353,0.07745569237240357
24,8000,obj,6.102495048567652,0.0017169661911172387
25,8000,rgb,7.893739650771022,0.3639350328280182
26,8000,rgb + obj,7.986817691847682,1.1305108854618144
27,8000,rgb + obj_encoding_only,7.791974463189641,0.2295481979747378
28,9000,obj,5.7335891074190535,0.00260306621582701
29,9000,rgb,7.394250600039959,0.5300881597217372
30,9000,rgb + obj,7.507457972069583,1.2418258102883182
31,9000,rgb + obj_encoding_only,7.29173309057951,0.42963380085768327
32,10000,obj,5.3777474091698725,0.0011404933219229866
33,10000,rgb,6.95173481317858,0.7918857626624194
34,10000,rgb + obj,7.071057780707877,1.283153134804157
35,10000,rgb + obj_encoding_only,6.860892375434437,0.39366442182499917
36,11000,obj,5.069422427813212,0.0014095411071235735
37,11000,rgb,6.5771781681726385,0.8006135962343647
38,11000,rgb + obj,6.670969335113964,1.019199794588219
39,11000,rgb + obj_encoding_only,6.47577372379601,0.5196622326879224
