,Step,AE_Keys,mean,std
0,2000,obj,,0.03187842450040126
1,2000,rgb + obj,,0.008601788324708296
2,3000,obj,,0.010175568602716218
3,3000,rgb + obj,,0.016859122387745416
4,4000,obj,0.24915147249897324,0.010101019589740521
5,4000,rgb + obj,0.17392828737696012,0.015157681304456305
6,5000,obj,0.08860020289818446,0.004743696068581891
7,5000,rgb + obj,0.084975969294707,0.01293371144752724
8,6000,obj,0.06404701173305512,0.0019174410673141044
9,6000,rgb + obj,0.06441948488354683,0.014237504638280779
10,7000,obj,0.051025357097387314,0.0017028330953658783
11,7000,rgb + obj,0.05396968126296997,0.012438484622866076
12,8000,obj,0.0420277189463377,0.0017169661911172387
13,8000,rgb + obj,0.04632026044030984,0.009726171879825515
14,9000,obj,0.036455265556772545,0.00260306621582701
15,9000,rgb + obj,0.04041255178550879,0.008587698298108331
16,10000,obj,0.03212050522367159,0.0011404933219229866
17,10000,rgb + obj,0.036060869321227075,0.007554882000096733
18,11000,obj,0.029061645021041232,0.0014095411071235735
19,11000,rgb + obj,0.0322582962612311,0.0052287531885168445
20,12000,obj,0.026479552686214446,0.001435597237411929
21,12000,rgb + obj,0.029291442657510443,0.004066524740322857
22,13000,obj,0.024353539136548842,0.0016437002641770133
23,13000,rgb + obj,0.0270022539421916,0.0029169706623578193
24,14000,obj,0.02297830612709125,0.001408796174710696
25,14000,rgb + obj,0.025165916420519352,0.0028139723253178205
26,15000,obj,0.021482763811945912,0.0010383800399843973
27,15000,rgb + obj,0.02352941439797481,0.0034349669382075687
28,16000,obj,0.02009800219287475,0.0011060284804390334
29,16000,rgb + obj,0.022096273489296436,0.003521477440237021
30,17000,obj,0.01925569958984852,0.0012191493043824002
31,17000,rgb + obj,0.02098568845540285,0.0031142909022102267
32,18000,obj,0.018277477100491525,0.0007266870416381675
33,18000,rgb + obj,0.020043319463729857,0.003789421835252388
34,19000,obj,0.017523701302707195,0.0008180971288802814
35,19000,rgb + obj,0.019214972481131555,0.0024528626374168256
36,20000,obj,0.01711540184915066,0.000741185413665406
37,20000,rgb + obj,0.01891958496222893,0.0030068218632079593
38,21000,obj,0.016806598876913388,0.0004131590703172409
39,21000,rgb + obj,0.018327156516412892,0.002864543442148343
